Date,JKM,TTF
05/27/2021,29.04327125,25.2
05/26/2021,29.74798904,26.425
05/25/2021,29.53263217,26.19
05/24/2021,28.15036065,24.76
05/21/2021,27.96734826,24.795
05/20/2021,28.05524399,24.685
05/19/2021,26.55341695,22.665
05/18/2021,27.90144283,24.81
05/17/2021,29.01487342,26.31
05/13/2021,25.78518357,26.25
05/12/2021,25.80441189,26.42
05/11/2021,25.61272437,25.805
05/10/2021,25.66269261,25.19
05/07/2021,25.38050412,23.94
05/06/2021,25.63121826,24.33
05/05/2021,25.50131984,23.96
05/04/2021,25.58377457,23.05
05/03/2021,25.1989814,23.815
04/30/2021,25.2607437,23.285
04/29/2021,24.78472495,22.5
04/28/2021,24.21144588,21.555
04/27/2021,24.27753171,21.405
04/26/2021,23.30298484,20
04/23/2021,23.13112499,20.045
04/22/2021,24.28704733,21.37
04/21/2021,24.25071667,21.11
04/20/2021,24.53435079,21.065
04/19/2021,24.5768959,20.94
04/16/2021,23.483211,20.54
04/15/2021,20.01571706,20.26
04/14/2021,19.98829481,19.68
04/13/2021,20.04183787,19.51
04/12/2021,20.075447,19.65
04/09/2021,20.04000542,18.94
04/08/2021,20.01308802,18.99
04/07/2021,20.06952451,19.285
04/06/2021,20.03233339,19.78
04/05/2021,20.01084776,19.17
04/01/2021,20.07202742,19.17
03/31/2021,20.42892596,18.995
03/30/2021,20.20568719,18.805
03/29/2021,19.92011064,18.445
03/26/2021,20.05076054,18.7
03/25/2021,19.58308625,18.365
03/24/2021,19.80689505,18.59
03/23/2021,19.74504552,18.39
03/22/2021,18.95140516,18.045
03/19/2021,18.42252176,17.265
03/18/2021,18.80498812,17.76
03/17/2021,18.94827662,17.97
03/16/2021,18.72831044,17.66
03/15/2021,17.38817432,17.93
03/12/2021,17.33326937,18.45
03/11/2021,17.24426653,18.125
03/10/2021,17.17217249,17.63
03/09/2021,17.23982635,16.925
03/08/2021,17.29107127,16.15
03/05/2021,17.18370034,16.365
03/04/2021,17.1133342,15.93
03/03/2021,16.623441,15.525
03/02/2021,16.58631362,15.87
03/01/2021,16.78579149,16.08
02/26/2021,17.51146655,15.695
02/25/2021,16.27158894,15.935
02/24/2021,16.94700302,16.38
02/23/2021,17.50168626,16.25
02/22/2021,17.56468888,15.96
02/19/2021,18.02674211,16.555
02/18/2021,18.63467676,17.33
02/17/2021,17.87867342,16.54
02/16/2021,17.9051181,16.715
02/12/2021,23.27510988,17.62
02/11/2021,23.25873279,17.375
02/10/2021,23.3240225,18.56
02/09/2021,23.39251456,19.045
02/08/2021,23.88058687,20.18
02/05/2021,23.76494556,18.38
02/04/2021,23.7954889,18.12
02/03/2021,23.72402198,17.855
02/02/2021,23.89248552,18.25
02/01/2021,24.11352375,18.14
01/29/2021,24.94482329,19.82
01/28/2021,24.91937807,20.91
01/27/2021,24.28372182,19.7
01/26/2021,24.02550745,19.51
01/25/2021,24.2116384,20.16
01/22/2021,24.83919044,21.485
01/21/2021,23.8110873,20.065
01/20/2021,25.4196283,20.26
01/19/2021,23.97633434,20.325
01/15/2021,51.73708777,20.2
01/14/2021,52.13790687,21.335
01/13/2021,52.13361815,21.5
01/12/2021,55.07945841,26.155
01/11/2021,55.3424108,22.125
01/08/2021,48.18605348,20.12
01/07/2021,47.981842,19.305
01/06/2021,43.06018041,17.565
01/05/2021,41.93338297,18.005
01/04/2021,41.60322616,19.845
12/31/2020,39.96189368,19.125
12/30/2020,35.51764293,19
12/29/2020,33.72003619,18.775
12/28/2020,30.97491772,19.15
12/24/2020,30.80802734,17.65
12/23/2020,29.48009988,17.505
12/22/2020,30.1837716,17.635
12/21/2020,28.01857646,16.795
12/18/2020,26.90271993,15.885
12/17/2020,28.14461463,15.94
12/16/2020,29.19925758,16.38
12/15/2020,22.95629821,17.225
12/14/2020,22.948937,16.605
12/11/2020,22.75594663,15.96
12/10/2020,22.25910669,15.54
12/09/2020,22.09206175,14.735
12/08/2020,21.70299862,14.445
12/07/2020,21.42266811,14.355
12/04/2020,21.10577952,14.645
12/03/2020,21.08506559,14.145
12/02/2020,21.26943301,14.905
12/01/2020,20.71251036,14.91
11/30/2020,20.95908786,15.14
11/27/2020,20.40020931,14.485
11/25/2020,19.91113617,13.93
11/24/2020,19.36446653,13.9
11/23/2020,18.88086892,13.535
11/20/2020,18.35626355,12.895
11/19/2020,17.96602208,13.02
11/18/2020,18.51619346,13.68
11/17/2020,18.89060226,13.97
11/16/2020,19.43604375,14.495
11/13/2020,19.90033391,14.24
11/12/2020,19.95043041,14
11/11/2020,20.01065883,14.095
11/10/2020,19.9479879,14.035
11/09/2020,19.94967654,13.855
11/06/2020,19.8505331,13.9
11/05/2020,19.79181494,14.455
11/04/2020,19.95896983,13.885
11/03/2020,19.81742902,13.665
11/02/2020,20.27550051,13.655
10/30/2020,20.57100057,14.06
10/29/2020,20.24568467,14.215
10/28/2020,20.19766393,14.485
10/27/2020,20.25501058,14.745
10/26/2020,20.81078831,14.865
10/23/2020,20.86518872,15.41
10/22/2020,19.85795855,15.255
10/21/2020,19.35099775,14.865
10/20/2020,18.91121631,14.895
10/19/2020,18.88358833,14.72
10/16/2020,18.39298602,14.5
10/15/2020,15.00353659,14.24
10/14/2020,14.94953768,13.87
10/13/2020,14.95208359,13.595
10/12/2020,14.83585649,13.84
10/09/2020,14.82205452,13.755
10/08/2020,14.81817332,13.9
10/07/2020,14.75760953,13.71
10/06/2020,14.68850765,13.305
10/05/2020,14.62990823,13.42
10/02/2020,14.64199663,13.025
10/01/2020,14.62867144,13.18
09/30/2020,14.70856365,13.285
09/29/2020,14.82383184,12.28
09/28/2020,14.84981062,12.35
09/25/2020,14.59976112,11.665
09/24/2020,14.47412436,11.635
09/23/2020,14.49026327,12.02
09/22/2020,14.09679351,11.705
09/21/2020,13.86183463,11.495
09/18/2020,13.96961745,11.475
09/17/2020,13.95782576,11.12
09/16/2020,14.14126007,11.32
09/15/2020,12.41289293,10.895
09/14/2020,12.39458848,10.705
09/11/2020,12.41865564,10.495
09/10/2020,12.45229629,10.515
09/09/2020,12.290391,10.735
09/08/2020,12.51721479,10.8
09/04/2020,12.18093869,11.68
09/03/2020,12.50087492,11.735
09/02/2020,12.16552368,11.11
09/01/2020,12.32222327,11.295
08/31/2020,12.08092763,11.24
08/28/2020,12.11442092,11.17
08/27/2020,11.47665418,8.87
08/26/2020,11.84397574,9.15
08/25/2020,11.60922958,8.865
08/24/2020,11.30707139,8.36
08/21/2020,10.72068774,7.62
08/20/2020,11.29598148,8.15
08/19/2020,11.79371778,8.355
08/18/2020,12.07371144,8.55
08/17/2020,12.00534734,8.18
08/14/2020,8.352998043,8.02
08/13/2020,8.335943432,7.31
08/12/2020,8.342685058,7.17
08/11/2020,8.358707462,7.415
08/10/2020,8.259059956,7.59
08/07/2020,8.06475433,7.93
08/06/2020,7.975570325,7.94
08/05/2020,7.855497971,7.32
08/04/2020,7.765951293,7.355
08/03/2020,7.791703533,6.8
07/31/2020,7.420758761,6.025
07/30/2020,7.534116728,5.225
07/29/2020,7.700168188,5.175
07/28/2020,7.866669852,4.96
07/27/2020,7.798334206,4.785
07/24/2020,7.59966989,5.01
07/23/2020,7.565405432,4.985
07/22/2020,7.375884516,4.83
07/21/2020,7.328734146,4.79
07/20/2020,7.306688871,4.73
07/17/2020,7.482485607,5.115
07/16/2020,7.495759649,5.06
07/15/2020,6.472975924,5.225
07/14/2020,6.468948448,5.085
07/13/2020,6.485845507,5.11
07/10/2020,6.570373687,5.475
07/09/2020,6.565147899,5.755
07/08/2020,6.597583838,5.935
07/07/2020,6.647264931,6.125
07/06/2020,6.624927111,6.095
07/02/2020,6.681377846,5.945
07/01/2020,6.674251043,5.865
06/30/2020,6.53359804,6.165
06/29/2020,6.680188989,5.84
06/26/2020,6.693886443,5.105
06/25/2020,6.754739956,5.255
06/24/2020,6.795601062,5.665
06/23/2020,6.943065055,5.83
06/22/2020,6.821088015,5.495
06/19/2020,6.780126898,5.615
06/18/2020,6.702849869,5.45
06/17/2020,6.678406496,5.21
06/16/2020,6.81805992,5.26
06/15/2020,6.218826737,5.515
06/12/2020,6.262468074,5.275
06/11/2020,6.253736759,4.99
06/10/2020,6.214131776,4.8
06/09/2020,6.199926564,4.805
06/08/2020,6.256505859,5.25
06/05/2020,6.260941525,5.71
06/04/2020,6.232221609,5.39
06/03/2020,6.381085733,5.33
06/02/2020,6.432357723,4.85
